team_id,team,year,wins,losses,win_%,singles,doubles,triples,home_runs,walks,sac_fly,sac_bunt,strikeouts,outs,r_o_error,runs,plate_appearances,sing/pa,doub/pa,trip/pa,hr/pa,hits,ab,avg,obs,slugging,ops,so_%,hr_%,walk_%,hits_to_run
201718,cle,2017,102,60,0.6296296296296297,830,262,12,163,452,20,16,1615,2085,44,818,5499,0.15093653391525733,0.047645026368430626,0.002182214948172395,0.029641753046008364,1267,4967,0.2550835514395007,0.3160507446221732,0.4111133480974431,0.7271640927196164,0.29368976177486816,0.029641753046008364,0.08219676304782687,1.5488997555012225
201719,tex,2017,78,84,0.48148148148148145,929,287,13,214,634,38,11,1107,2522,61,799,5816,0.1597317744154058,0.04934662998624484,0.002235213204951857,0.03679504814305364,1443,5072,0.2845031545741325,0.36159470752089135,0.4727917981072555,0.8343865056281469,0.19033700137551582,0.03679504814305364,0.10900962861072902,1.8060075093867334
201720,ana,2017,80,82,0.49382716049382713,867,265,17,224,516,30,24,1313,2338,38,710,5632,0.15394176136363635,0.047052556818181816,0.003018465909090909,0.03977272727272727,1373,5024,0.27328821656050956,0.3391382405745063,0.46656050955414013,0.8056987501286464,0.23313210227272727,0.03977272727272727,0.09161931818181818,1.9338028169014085
201721,cha,2017,67,95,0.41358024691358025,834,275,32,242,702,37,14,1194,2406,75,706,5811,0.14352090862157976,0.047324040612631214,0.005506797453106178,0.04164515573911547,1383,4983,0.27754364840457557,0.36438308283816845,0.4912703190848886,0.855653401923057,0.20547237996902426,0.04164515573911547,0.12080536912751678,1.9589235127478755
201722,atl,2017,72,90,0.4444444444444444,909,326,36,192,654,36,53,1260,2412,53,732,5931,0.15326251896813353,0.05496543584555724,0.006069802731411229,0.03237228123419322,1463,5135,0.2849074975657254,0.3634334763948498,0.4745861733203505,0.8380196497152003,0.212443095599393,0.03237228123419322,0.11026808295397066,1.9986338797814207
201723,bal,2017,75,87,0.46296296296296297,953,293,17,242,639,48,17,1234,2416,48,743,5907,0.16133401049602167,0.049602166920602674,0.002877941425427459,0.040968342644320296,1505,5155,0.29194956353055285,0.3669976035604245,0.4962172647914646,0.8632148683518891,0.2089046893516167,0.040968342644320296,0.10817673946165567,2.02557200538358
201724,sfn,2017,64,98,0.3950617283950617,978,297,58,182,547,39,51,1236,2423,49,639,5860,0.16689419795221844,0.05068259385665529,0.009897610921501706,0.0310580204778157,1515,5174,0.29281020487050635,0.3579861111111111,0.47816003092385,0.8361461420349612,0.21092150170648463,0.0310580204778157,0.09334470989761093,2.3708920187793425
201725,pit,2017,75,87,0.46296296296296297,931,320,31,182,571,29,53,1265,2379,56,668,5817,0.16004813477737664,0.055011174144748154,0.005329207495272477,0.031287605294825514,1464,5108,0.28660924040720437,0.35651716888577434,0.4682850430696946,0.824802211955469,0.21746604779095755,0.031287605294825514,0.09816056386453498,2.191616766467066
201726,min,2017,85,77,0.5246913580246914,955,282,26,224,553,40,23,1166,2472,43,815,5784,0.1651106500691563,0.0487551867219917,0.004495159059474412,0.03872752420470263,1487,5125,0.2901463414634146,0.3567681007345226,0.4864390243902439,0.8432071251247665,0.20159059474412172,0.03872752420470263,0.0956085753803596,1.8245398773006134
201727,sln,2017,83,79,0.5123456790123457,917,262,31,183,561,45,40,1351,2334,56,761,5780,0.15865051903114186,0.04532871972318339,0.005363321799307958,0.03166089965397924,1393,5078,0.2743205986608901,0.3437719915552428,0.4462386766443482,0.790010668199591,0.2337370242214533,0.03166089965397924,0.09705882352941177,1.8304862023653088
201728,nyn,2017,70,92,0.43209876543209874,1017,278,23,220,648,53,49,1376,2317,59,735,6040,0.16837748344370862,0.04602649006622517,0.0038079470198675498,0.03642384105960265,1538,5231,0.29401644045115655,0.36850977747808494,0.4821257885681514,0.8506355660462364,0.22781456953642384,0.03642384105960265,0.10728476821192053,2.092517006802721
201729,tor,2017,76,86,0.4691358024691358,921,310,26,203,598,38,14,1373,2427,52,693,5962,0.15447836296544784,0.0519959745051996,0.004360952700436095,0.0340489768534049,1460,5260,0.27756653992395436,0.34905020352781546,0.46216730038022813,0.8112175039080436,0.23029184837302918,0.0340489768534049,0.10030191211003019,2.1067821067821066
